# R_ang  theta_rad  Veff_hartree
    1.500000   0.04958315  6.8548376828748246e+02
    1.500000   0.11381403  3.8318945245368838e+02
    1.500000   0.17842421  1.5389582262499431e+02
    1.500000   0.24312010  5.0620169475504412e+01
    1.500000   0.30784849  1.5122125996527576e+01
    1.500000   0.37259260  4.6245198232825100e+00
    1.500000   0.43734549  1.7862809699152569e+00
    1.500000   0.50210377  1.0308712828091713e+00
    1.500000   0.56686560  7.8209549405343115e-01
    1.500000   0.63162987  6.4294079474190646e-01
    1.500000   0.69639591  5.2966472025743649e-01
    1.500000   0.76116325  4.3090577128582247e-01
    1.500000   0.82593158  3.4726334246449270e-01
    1.500000   0.89070068  2.7890099160559001e-01
    1.500000   0.95547037  2.2443288149013324e-01
    1.500000   1.02024053  1.8171642971241769e-01
    1.500000   1.08501108  1.4853238944682612e-01
    1.500000   1.14978193  1.2292461239025676e-01
    1.500000   1.21455301  1.0330949043399168e-01
    1.500000   1.27932429  8.8470281643825685e-02
    1.500000   1.34409571  7.7507030224807816e-02
    1.500000   1.40886724  6.9777832658909494e-02
    1.500000   1.47363885  6.4847003715573254e-02
    1.500000   1.53841049  6.2445628918695519e-02
    1.500000   1.60318216  6.2445628395199446e-02
    1.500000   1.66795381  6.4847002240319584e-02
    1.500000   1.73272541  6.9777830553326259e-02
    1.500000   1.79749694  7.7507028154475882e-02
    1.500000   1.86226837  8.8470280854835173e-02
    1.500000   1.92703964  1.0330949318227824e-01
    1.500000   1.99181073  1.2292462270460677e-01
    1.500000   2.05658157  1.4853241448773372e-01
    1.500000   2.12135212  1.8171648221928291e-01
    1.500000   2.18612229  2.2443298425802524e-01
    1.500000   2.25089198  2.7890118582766144e-01
    1.500000   2.31566107  3.4726370360529796e-01
    1.500000   2.38042940  4.3090643998567824e-01
    1.500000   2.44519674  5.2966596402230171e-01
    1.500000   2.50996278  6.4294313441575690e-01
    1.500000   2.57472706  7.8209997041323254e-01
    1.500000   2.63948889  1.0308800342433200e+00
    1.500000   2.70424717  1.7862985152273732e+00
    1.500000   2.76900006  4.6245559533342036e+00
    1.500000   2.83374417  1.5122202228812153e+01
    1.500000   2.89847256  5.0620332404931830e+01
    1.500000   2.96316844  1.5389616450411717e+02
    1.500000   3.02777863  3.8319010913084890e+02
    1.500000   3.09200950  6.8548479016755721e+02
    1.550000   0.04958315  2.4534763819262383e+02
    1.550000   0.11381403  1.5001943572072048e+02
    1.550000   0.17842421  6.7924661252630088e+01
    1.550000   0.24312010  2.5296167638768459e+01
    1.550000   0.30784849  8.6214070368939488e+00
    1.550000   0.37259260  3.1079444131545033e+00
    1.550000   0.43734549  1.4425831320634059e+00
    1.550000   0.50210377  9.2600531710239142e-01
    1.550000   0.56686560  7.1526888887406426e-01
    1.550000   0.63162987  5.8150193964797436e-01
    1.550000   0.69639591  4.7287014584352249e-01
    1.550000   0.76116325  3.8093419951705493e-01
    1.550000   0.82593158  3.0480707562311687e-01
    1.550000   0.89070068  2.4345324480839095e-01
    1.550000   0.95547037  1.9498243983314226e-01
    1.550000   1.02024053  1.5717031407784990e-01
